,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
79,cumsum_price_by_order_id-max,113,44,88,86,97,127,48,114,122,60,89.9
80,cumsum_price_by_order_id-min,132,68,102,76,156,138,51,103,145,91,106.2
81,cumsum_price_by_order_id-sum,114,57,95,78,124,119,49,120,116,66,93.8
82,cumsum_price_by_order_id-std,109,62,102,63,129,135,64,112,143,66,98.5
83,cumsum_price_by_order_id-skew,305,126,166,171,275,327,130,265,301,191,225.7
84,quantity-mean,124,53,59,84,113,178,63,127,143,84,102.8
85,quantity-max,35,23,28,30,48,44,14,39,37,25,32.3
86,quantity-min,85,51,61,45,79,70,26,51,76,50,59.4
87,quantity-sum,54,42,39,33,47,56,26,57,40,38,43.2
88,quantity-std,196,85,118,109,141,175,68,143,153,96,128.4
89,quantity-skew,270,106,151,186,279,276,143,290,277,194,217.2
90,price-mean,267,93,137,132,235,304,105,220,224,116,183.3
91,price-max,63,27,39,29,50,59,30,40,57,27,42.1
92,price-min,117,60,72,75,128,109,48,112,112,66,89.9
93,price-sum,25,11,21,20,25,25,12,25,31,17,21.2
94,price-std,171,97,129,114,190,214,91,196,190,165,155.7
95,price-skew,323,118,185,200,345,323,176,258,307,200,243.5
96,total-mean,192,76,117,108,202,187,71,160,177,129,141.9
97,total-max,108,46,62,56,95,107,41,93,86,59,75.3
98,total-min,164,71,126,100,173,190,76,183,142,96,132.1
99,total-sum,108,47,80,80,105,78,78,93,95,73,83.7
100,total-std,128,54,82,75,153,151,49,119,130,100,104.1
101,total-skew,237,94,195,166,232,259,107,231,266,157,194.4
