iter	Passed	Remaining
415	3044	4274
416	3051	4265
417	3057	4256
418	3063	4247
419	3069	4238
420	3075	4229
421	3081	4220
422	3087	4211
423	3093	4202
424	3099	4192
425	3105	4184
426	3111	4175
427	3117	4166
428	3123	4157
429	3129	4148
430	3135	4140
431	3142	4131
432	3148	4122
433	3154	4113
434	3161	4105
435	3167	4097
436	3173	4088
437	3179	4079
438	3185	4070
439	3191	4062
440	3197	4053
441	3203	4044
442	3209	4035
443	3215	4027
444	3221	4018
445	3227	4009
446	3234	4001
447	3240	3992
448	3246	3984
449	3252	3975
450	3258	3967
451	3265	3959
452	3271	3950
453	3277	3942
454	3284	3933
455	3290	3925
456	3297	3917
457	3307	3914
458	3317	3910
459	3327	3906
460	3339	3904
461	3352	3904
462	3366	3904
463	3397	3925
464	3418	3933
465	3433	3934
466	3446	3934
467	3460	3933
468	3474	3933
469	3486	3931
470	3498	3929
471	3512	3929
472	3526	3928
473	3536	3924
474	3542	3915
475	3548	3906
476	3555	3898
477	3561	3889
478	3567	3880
479	3574	3872
480	3582	3865
481	3589	3858
482	3596	3849
483	3602	3840
484	3608	3831
485	3614	3822
486	3627	3820
487	3637	3816
488	3646	3810
489	3652	3801
490	3658	3792
491	3664	3783
492	3670	3774
493	3676	3765
494	3682	3757
495	3689	3748
496	3695	3740
497	3701	3731
498	3708	3723
499	3714	3714
500	3720	3705
501	3733	3703
502	3743	3699
503	3754	3694
504	3764	3690
505	3775	3685
506	3785	3680
507	3792	3672
508	3802	3667
509	3812	3662
510	3818	3653
511	3824	3645
512	3830	3636
513	3837	3628
514	3844	3620
515	3850	3611
516	3856	3603
517	3862	3594
518	3869	3586
519	3875	3577
520	3881	3569
521	3888	3560
522	3894	3551
523	3900	3542
524	3906	3534
525	3912	3525
526	3918	3516
527	3924	3508
528	3930	3499
529	3936	3491
530	3942	3482
531	3949	3474
532	3956	3466
533	3962	3458
534	3969	3449
535	3975	3441
536	3981	3432
537	3987	3423
538	3993	3415
539	3999	3406
540	4005	3398
541	4011	3390
542	4018	3381
543	4024	3373
544	4030	3364
545	4036	3356
546	4042	3347
547	4049	3339
548	4055	3331
549	4061	3323
550	4067	3314
551	4073	3306
552	4080	3298
553	4086	3290
554	4092	3281
555	4099	3273
556	4105	3265
557	4111	3256
558	4118	3248
559	4124	3240
560	4130	3232
561	4136	3224
562	4143	3215
563	4149	3207
564	4155	3199
565	4161	3190
566	4168	3182
567	4174	3174
568	4180	3166
569	4186	3158
570	4192	3149
571	4198	3141
572	4204	3133
573	4211	3125
574	4217	3116
575	4223	3108
576	4229	3100
577	4235	3092
578	4241	3084
579	4247	3075
580	4253	3067
581	4259	3059
582	4265	3051
583	4271	3043
584	4277	3034
585	4284	3026
586	4290	3018
587	4296	3010
588	4303	3002
589	4310	2995
