iter	Logloss
0	0.6806137668
1	0.6682661244
2	0.6570090451
3	0.645823239
4	0.635595592
5	0.6258995423
6	0.6167508696
7	0.607189741
8	0.5982072198
9	0.5900422202
10	0.5822864138
11	0.5745756051
12	0.5676981738
13	0.5604772891
14	0.5544905386
15	0.5479907018
16	0.5421302358
17	0.5358377387
18	0.5303757249
19	0.525792766
20	0.5206343216
21	0.5157999371
22	0.5116729762
23	0.5067943048
24	0.5019753659
25	0.4977585076
26	0.4941477257
27	0.4898788455
28	0.4864270901
29	0.4829472006
30	0.4794108208
31	0.4759538392
32	0.4726148328
33	0.4692137451
34	0.4660158277
35	0.4629064391
36	0.4601258687
37	0.4573561425
38	0.4543074001
39	0.4524312283
40	0.4503224058
41	0.4478587825
42	0.4453996082
43	0.4434776723
44	0.4410745047
45	0.4390427944
46	0.4372247401
47	0.4352908974
48	0.4338624033
49	0.4321316011
50	0.4304623956
51	0.4290449596
52	0.4278633321
53	0.4264447149
54	0.4250514252
55	0.4235958425
56	0.4219969653
57	0.4207093707
58	0.4194434006
59	0.4178231258
60	0.4164646703
61	0.4152193751
62	0.4138956714
63	0.4126269473
64	0.411482672
65	0.41068574
66	0.4094270306
67	0.40830051
68	0.4072570457
69	0.4063247973
70	0.4051732756
71	0.4041190167
72	0.4032432405
73	0.402236911
74	0.4015651926
75	0.4006732232
76	0.4000953425
77	0.3990989874
78	0.3984281865
79	0.3976317176
80	0.3968924223
81	0.3960864463
82	0.3952408382
83	0.3945145486
84	0.393632866
85	0.3927414029
86	0.392008436
87	0.3912620119
88	0.3906950002
89	0.3900245089
90	0.3894238711
91	0.388823354
92	0.3880345433
93	0.3874588742
94	0.3866223557
95	0.3859373707
96	0.3852548488
97	0.3846150371
98	0.3839275614
99	0.3833905718
100	0.3825455054
101	0.3819717762
102	0.3812044021
103	0.3803301938
104	0.379865524
105	0.3794213691
106	0.3788019105
107	0.3784495932
108	0.3779718596
109	0.377356037
110	0.3768032857
111	0.3762032826
112	0.3757340129
113	0.3752618028
114	0.3747044604
115	0.3742751231
