,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
79,cumsum_price_by_order_id-max,117,48,92,66,89,78,51,114,117,31,80.3
80,cumsum_price_by_order_id-min,151,77,85,89,157,105,55,114,125,42,100.0
81,cumsum_price_by_order_id-sum,115,67,84,77,112,96,47,126,112,38,87.4
82,cumsum_price_by_order_id-std,127,69,98,68,151,86,72,130,143,32,97.6
83,cumsum_price_by_order_id-skew,305,128,187,172,292,235,122,253,317,107,211.8
84,quantity-mean,103,63,72,93,114,119,63,135,142,44,94.8
85,quantity-max,47,17,25,27,53,35,16,30,34,12,29.6
86,quantity-min,86,48,56,52,92,56,25,56,67,26,56.4
87,quantity-sum,47,44,44,34,44,44,25,55,41,27,40.5
88,quantity-std,193,83,129,94,150,122,63,131,147,36,114.8
89,quantity-skew,277,104,145,177,288,176,117,254,277,90,190.5
90,price-mean,257,89,150,124,212,196,110,201,238,56,163.3
91,price-max,66,27,39,38,53,37,26,34,52,13,38.5
92,price-min,124,52,92,67,107,75,54,105,106,37,81.9
93,price-sum,26,13,24,19,10,12,10,16,27,15,17.2
94,price-std,173,88,144,110,180,146,94,165,192,80,137.2
95,price-skew,331,113,195,225,292,272,163,266,290,104,225.1
96,total-mean,188,73,116,116,201,154,81,155,182,50,131.6
97,total-max,103,47,69,52,92,68,46,68,77,25,64.7
98,total-min,179,74,127,85,157,116,75,173,160,49,119.5
99,total-sum,117,45,90,82,115,74,71,107,95,44,84.0
100,total-std,149,63,72,65,141,86,50,117,135,43,92.1
101,total-skew,247,99,187,165,229,179,102,246,264,82,180.0
