,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
79,cumsum_total_by_order_id-sum,8,3,6,6,7,5,1,6,4,4,5.0
80,cumsum_total_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
81,cumsum_total_by_order_id-std,21,12,7,7,17,8,3,7,4,9,9.5
82,cumsum_total_by_order_id-skew,24,5,1,1,13,1,1,5,10,5,6.6
83,cumsum_quantity_by_order_id-mean,17,1,4,5,14,3,3,3,4,4,5.8
84,cumsum_quantity_by_order_id-max,22,3,8,6,21,7,2,9,10,12,10.0
85,cumsum_quantity_by_order_id-min,8,2,5,0,11,3,1,1,5,5,4.1
86,cumsum_quantity_by_order_id-sum,8,0,5,1,9,1,0,1,4,1,3.0
87,cumsum_quantity_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
88,cumsum_quantity_by_order_id-std,23,4,6,7,20,5,6,12,21,15,11.9
89,cumsum_quantity_by_order_id-skew,31,4,5,8,18,2,1,3,12,10,9.4
90,cumsum_price_by_order_id-mean,15,9,13,13,24,6,5,10,19,14,12.8
91,cumsum_price_by_order_id-max,6,0,6,5,18,2,2,2,4,5,5.0
92,cumsum_price_by_order_id-min,21,2,9,1,14,5,2,3,8,5,7.0
93,cumsum_price_by_order_id-sum,11,5,6,3,7,3,0,9,5,0,4.9
94,cumsum_price_by_order_id-count,0,0,0,0,0,0,0,0,0,0,0.0
95,cumsum_price_by_order_id-std,12,0,0,7,10,6,1,2,9,5,5.2
96,cumsum_price_by_order_id-skew,53,8,20,10,28,16,5,15,29,15,19.9
97,quantity-mean,7,0,7,7,8,3,2,4,5,2,4.5
98,quantity-max,3,1,4,0,2,1,0,0,2,0,1.3
99,quantity-min,6,2,0,1,2,0,2,0,3,0,1.6
100,quantity-sum,2,8,6,7,13,5,7,3,6,10,6.7
101,quantity-count,0,0,0,0,0,0,0,0,0,0,0.0
102,quantity-std,22,3,0,5,11,3,0,0,2,3,4.9
103,quantity-skew,18,1,6,4,14,5,0,1,4,1,5.4
104,price-mean,15,1,2,7,18,4,1,7,6,3,6.4
105,price-max,2,2,4,1,1,1,0,0,0,4,1.5
106,price-min,6,0,0,1,3,2,0,1,0,0,1.3
107,price-sum,3,0,1,1,3,3,0,1,1,1,1.4
108,price-count,0,0,0,0,0,0,0,0,0,0,0.0
109,price-std,27,4,6,7,20,11,3,3,17,11,10.9
110,price-skew,39,2,4,6,31,4,0,1,4,4,9.5
111,total-mean,20,8,7,8,13,8,2,5,15,2,8.8
112,total-max,9,0,1,3,3,5,2,3,4,2,3.2
113,total-min,18,1,5,4,16,5,1,4,9,2,6.5
114,total-sum,28,15,22,22,29,13,12,17,22,21,20.1
115,total-count,0,0,0,0,0,0,0,0,0,0,0.0
116,total-std,16,2,3,4,13,3,1,3,10,0,5.5
117,total-skew,15,1,2,5,6,0,0,4,3,4,4.0
