iter	Logloss
0	0.6336333302
1	0.589033259
2	0.5504764669
3	0.522942074
4	0.4989020099
5	0.4793476747
6	0.4628953093
7	0.449963928
8	0.4383527554
9	0.4283184367
10	0.4207862377
11	0.4144235944
12	0.4088481919
13	0.4038565077
14	0.4007621686
15	0.3974613542
16	0.3948838494
17	0.3916321893
18	0.3893230419
19	0.3874209602
20	0.3853788986
21	0.3828870952
22	0.3807755405
23	0.3781515517
24	0.3758219767
25	0.3731964221
26	0.3714911603
27	0.3694765225
28	0.3675770948
29	0.3661830025
30	0.3640641681
31	0.3623089094
32	0.3608322465
33	0.3592710727
34	0.3581499963
35	0.356630886
36	0.3553772865
37	0.3537132732
38	0.3529895796
39	0.3515646375
40	0.3506407346
41	0.3495212601
42	0.3483952153
43	0.3472487961
44	0.3457933932
45	0.3452794276
46	0.3443836638
47	0.3429446199
48	0.3413480272
49	0.3402900405
50	0.3397077529
51	0.3388607277
52	0.3382425632
53	0.3373351794
54	0.3359832303
55	0.3351553487
56	0.3334905578
57	0.3326423127
58	0.3314734371
59	0.3308798946
60	0.3300231944
61	0.3287160111
62	0.3279860433
63	0.3270856217
64	0.3260559059
65	0.3252903726
66	0.3248698406
67	0.3241170949
68	0.3235336813
69	0.3226607344
70	0.3223239798
71	0.3216598758
72	0.3203849895
73	0.3198047161
74	0.3187380284
75	0.317704956
76	0.3169733816
77	0.3165809676
78	0.3158975955
79	0.3152803727
80	0.314700252
81	0.3134611987
82	0.3126074224
83	0.3120018663
84	0.3109317638
85	0.3099905902
86	0.3091173265
87	0.3083709264
88	0.3079000879
89	0.3073127547
90	0.3066068192
91	0.3060355578
92	0.3054085364
93	0.3046229518
94	0.3034898481
95	0.3023226019
96	0.3011845354
97	0.3004344674
98	0.2995869125
99	0.2979833463
100	0.2970817526
101	0.2956593295
102	0.2945819884
103	0.2935960031
104	0.292125883
105	0.290983865
106	0.2901918569
107	0.2888722971
108	0.2880740743
109	0.2869602282
110	0.285842569
111	0.2846441685
112	0.2841482418
113	0.2831746597
114	0.2822953725
115	0.2811321569
116	0.2804798703
117	0.2798882221
118	0.2789912092
119	0.2778706838
120	0.2763993992
121	0.2757541607
122	0.2746986112
123	0.2737702122
124	0.2731701636
125	0.2723718663
126	0.2715671865
127	0.270628558
128	0.2697699009
129	0.2687416689
130	0.2675749417
131	0.2660514749
132	0.2648446056
133	0.2638729599
134	0.2628387901
135	0.2616609395
136	0.2609985151
137	0.2597403437
138	0.2589504098
139	0.2577308774
140	0.2570798063
141	0.2559485423
142	0.2548728646
143	0.2540438951
144	0.2535206411
145	0.2527187523
146	0.2518656877
147	0.251031971
148	0.2497706376
149	0.2488871125
150	0.247826636
151	0.2474509142
152	0.2465564429
153	0.245535835
154	0.2446977729
155	0.2439221657
156	0.2430015693
157	0.2419653085
158	0.2412693225
159	0.2402378933
160	0.2396434477
161	0.2389636888
162	0.2381019163
163	0.2370008902
164	0.2363721577
165	0.235168665
166	0.234604505
167	0.2339243965
168	0.23278232
169	0.231860104
170	0.2312564521
171	0.2309554542
172	0.229754575
173	0.2290263094
174	0.2285169109
175	0.2277856513
176	0.2268492587
177	0.2261017657
178	0.2251837606
179	0.2245938306
180	0.2243474168
181	0.2233700059
182	0.2228934748
183	0.2222676632
184	0.2213810227
185	0.2201155499
186	0.2193373305
187	0.2187751621
188	0.2179803262
189	0.2172733655
190	0.21641346
191	0.2159930331
192	0.2150244631
193	0.2144891729
194	0.2133121571
195	0.2125977201
196	0.2123578382
197	0.211729675
198	0.210718028
199	0.2100772479
200	0.2094198218
201	0.20910662
202	0.2086094034
203	0.2077875656
204	0.2069213201
205	0.2065977296
206	0.206007673
207	0.2053143683
208	0.2044959056
209	0.2041629912
210	0.2037316002
211	0.2027872751
212	0.2022161965
213	0.2017606623
214	0.2013268047
215	0.2006843286
216	0.2002313506
217	0.1999920018
218	0.1992357214
219	0.198870751
220	0.1983008406
221	0.1979203283
222	0.197228267
223	0.1969357597
224	0.1962514289
225	0.1953501662
226	0.1949937236
227	0.1945851488
228	0.1943047147
229	0.193638926
230	0.1932017457
231	0.1928180518
232	0.1926537903
233	0.1922730563
234	0.1918017401
235	0.1915727748
236	0.1912538958
237	0.1909290419
238	0.1906233923
239	0.1898455237
240	0.1892403992
241	0.1889391887
242	0.1885342375
243	0.188252869
244	0.1878316167
245	0.1873891854
246	0.1868354491
247	0.1866301536
248	0.1861397832
249	0.1858351171
250	0.1852036197
251	0.1849410714
252	0.1847434126
253	0.1844779358
254	0.1840434498
255	0.1837232974
256	0.1835022317
257	0.1832695076
258	0.1830917302
259	0.182886831
260	0.1821828779
261	0.1818949415
262	0.1816509222
263	0.1812532483
264	0.1808518541
265	0.1805919112
266	0.1803973917
267	0.1802696102
268	0.1800264521
269	0.1797453153
270	0.1794419567
271	0.1791388599
272	0.1786304243
273	0.1780945725
274	0.1779532033
275	0.1776646019
276	0.1774240419
277	0.1769506681
278	0.176197113
279	0.1755978799
280	0.175171295
281	0.1748785009
282	0.1746020244
283	0.1739832142
284	0.1736667014
285	0.1734175966
286	0.1732666161
287	0.1731470405
288	0.1727822435
289	0.1722945445
290	0.1721558081
291	0.1720128324
292	0.1718995527
293	0.1717570808
294	0.1716233971
295	0.171320768
296	0.1709967237
297	0.1707179842
298	0.1705351323
299	0.170320217
300	0.1701216994
301	0.1697370293
302	0.169234427
303	0.1687377154
304	0.1681971999
305	0.1680408438
306	0.1677894168
307	0.1676147026
308	0.1673968787
309	0.166991045
310	0.1662217696
311	0.1660798778
312	0.1657938062
313	0.1656045093
314	0.1654749583
315	0.1652944043
316	0.1647591042
317	0.1641810895
318	0.1640986926
319	0.1639008359
320	0.1635237139
321	0.1634107387
322	0.1629228802
323	0.16253747
324	0.1622084169
325	0.1620164402
326	0.161944087
327	0.1617302441
328	0.161256713
329	0.1607966459
330	0.1606283148
331	0.1604763918
332	0.1602683237
333	0.1599871046
334	0.1596536616
335	0.1594569026
336	0.1592085069
337	0.1590351421
338	0.1588531975
339	0.1584800021
340	0.158115297
341	0.1577546736
342	0.1575637565
343	0.1573118625
344	0.1572423744
345	0.1571906295
346	0.1569724346
347	0.1567040279
348	0.1562838856
349	0.1561243041
350	0.1560068049
351	0.1556815486
352	0.155251385
353	0.1548624017
354	0.1544269705
355	0.1541727435
356	0.1537745622
357	0.153682856
358	0.1534058038
359	0.1532291054
360	0.1530231683
361	0.1528894728
362	0.1527224947
363	0.1525942871
364	0.1522726999
365	0.151875077
366	0.1517453384
367	0.1513075096
368	0.1512048021
369	0.1506710222
