iter	Passed	Remaining
357	12540	2684245
358	12572	2683608
359	12607	2683675
360	12647	2684650
361	12688	2685934
362	12735	2688438
363	12783	2690934
364	12821	2691648
365	12852	2690743
366	12885	2690217
367	12918	2689755
368	12952	2689522
369	12988	2689714
370	13023	2689537
371	13055	2688814
372	13088	2688422
373	13121	2688070
374	13155	2687738
375	13190	2687755
376	13227	2687942
377	13259	2687410
378	13292	2686971
379	13325	2686381
380	13357	2685816
381	13390	2685432
382	13425	2685269
383	13458	2684776
384	13491	2684359
385	13522	2683640
386	13557	2683465
387	13591	2683266
388	13625	2683119
389	13657	2682530
390	13693	2682611
391	13728	2682610
392	13764	2682775
393	13798	2682521
394	13834	2682547
395	13869	2682668
396	13910	2683624
397	13952	2685039
398	13988	2685202
399	14028	2686042
400	14067	2686819
401	14102	2686728
402	14144	2687942
403	14179	2687908
404	14213	2687774
405	14249	2687898
406	14287	2688329
407	14321	2688064
408	14355	2687904
409	14387	2687227
410	14420	2686802
411	14453	2686453
412	14487	2686260
413	14520	2685819
414	14552	2685095
415	14585	2684806
416	14619	2684517
417	14651	2684006
418	14686	2683861
419	14728	2685068
420	14761	2684696
421	14794	2684270
422	14827	2683860
423	14862	2683884
424	14903	2684890
425	14943	2685808
426	14989	2687578
427	15028	2688310
428	15072	2689825
429	15109	2690090
430	15150	2691134
431	15189	2691851
432	15225	2691903
433	15257	2691337
434	15293	2691366
435	15324	2690763
436	15358	2690492
437	15391	2690100
438	15424	2689708
439	15457	2689168
440	15490	2688739
441	15523	2688391
442	15557	2688164
443	15597	2689064
444	15634	2689360
445	15668	2688996
446	15700	2688513
447	15732	2687853
448	15770	2688319
449	15804	2688139
450	15836	2687586
451	15868	2686975
452	15909	2687958
453	15941	2687388
454	15975	2687201
455	16007	2686674
456	16041	2686481
457	16076	2686360
458	16109	2685920
459	16142	2685642
460	16176	2685348
461	16213	2685656
462	16252	2686262
463	16287	2686221
464	16320	2685894
465	16355	2685721
466	16387	2685219
467	16421	2684942
468	16455	2684823
469	16489	2684547
470	16521	2684124
471	16555	2683859
472	16588	2683491
473	16621	2683146
474	16655	2682907
475	16687	2682386
476	16719	2681876
477	16752	2681502
478	16785	2681139
479	16818	2680788
480	16859	2681719
481	16895	2681867
482	16930	2681754
483	16963	2681327
484	16995	2680845
485	17028	2680537
486	17065	2680773
487	17109	2682148
488	17153	2683490
489	17192	2684035
490	17238	2685740
491	17276	2686115
492	17315	2686692
493	17358	2687878
494	17392	2687766
495	17425	2687412
496	17459	2687071
497	17492	2686840
498	17524	2686289
499	17557	2685904
500	17588	2685310
501	17620	2684695
502	17655	2684615
503	17686	2684098
504	17723	2684289
505	17755	2683770
506	17788	2683377
507	17820	2682933
508	17852	2682413
509	17885	2682157
510	17919	2681844
511	17954	2681779
512	17986	2681283
513	18018	2680916
514	18053	2680792
515	18087	2680561
516	18120	2680238
517	18159	2680910
518	18200	2681701
519	18232	2681222
520	18265	2680812
521	18298	2680593
522	18337	2681124
523	18371	2680867
524	18405	2680741
525	18439	2680552
526	18473	2680330
527	18505	2679858
528	18538	2679502
529	18574	2679546
530	18614	2680226
531	18646	2679831
532	18680	2679559
533	18710	2678903
534	18744	2678698
535	18777	2678401
536	18816	2678813
537	18853	2679072
538	18885	2678630
539	18917	2678209
540	18949	2677760
541	18983	2677555
542	19016	2677178
543	19048	2676710
544	19079	2676214
545	19112	2675820
546	19143	2675309
547	19186	2676342
548	19219	2676072
549	19252	2675656
550	19284	2675251
551	19316	2674824
552	19361	2676112
553	19401	2676857
554	19443	2677768
555	19485	2678604
556	19525	2679240
557	19569	2680499
558	19608	2680956
559	19642	2680805
560	19675	2680473
561	19708	2680186
562	19741	2679844
563	19804	2683635
564	19845	2684375
565	19882	2684578
566	19914	2684098
567	19947	2683815
568	19979	2683365
569	20017	2683750
570	20051	2683544
571	20083	2683059
572	20117	2682951
573	20151	2682668
574	20184	2682350
575	20220	2682438
576	20255	2682419
577	20289	2682201
578	20321	2681742
579	20352	2681274
580	20386	2680997
581	20417	2680544
582	20453	2680627
583	20494	2681306
584	20527	2680994
585	20560	2680706
586	20593	2680356
587	20628	2680272
588	20663	2680277
589	20699	2680379
590	20731	2679974
591	20764	2679664
592	20799	2679579
593	20832	2679314
594	20865	2679037
595	20899	2678791
596	20939	2679396
597	20978	2679825
598	21010	2679455
599	21043	2679162
600	21076	2678848
601	21108	2678440
602	21141	2678158
603	21174	2677818
604	21205	2677275
605	21240	2677207
606	21273	2676977
607	21307	2676842
608	21341	2676586
609	21379	2676980
610	21411	2676577
611	21446	2676454
612	21481	2676451
613	21514	2676178
614	21548	2675952
615	21580	2675625
616	21638	2678461
617	21677	2678904
618	21719	2679632
619	21765	2680952
620	21809	2682024
